date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:21:18	89/89	---M-Z	200	added ('OK')	text/plain	etag:%222fa5c03f3240772f37917091c93c2e80%22	https://home/robots.txt		(from )
19:21:19	1434476/1434476	---M-Z	200	added ('OK')	text/html	etag:%22cac7904091e95425bbb0b438ed401f9f%22	https://home/	C:/Users/Sukuna/Desktop/sites/testcardv2/home/index.html	(from )
19:21:20	362/362	---MC-	200	added ('OK')	image/png	etag:%22d1fc86006d81c082f5c370fb5afb0b96%22	https://framerusercontent.com/images/Z8gGzPyiqV9ZQRb7Zz8Ch6KTVpQ.png	C:/Users/Sukuna/Desktop/sites/testcardv2/framerusercontent.com/images/Z8gGzPyiqV9ZQRb7Zz8Ch6KTVpQ.png	(from https://home/)
19:21:20	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2031%20Aug%202024%2016:21:20%20GMT	https://fonts.gstatic.com/	C:/Users/Sukuna/Desktop/sites/testcardv2/fonts.gstatic.com/index.html	(from https://home/)
19:21:21	612879/612879	---MCZ	200	added ('OK')	text/javascript	etag:W/%22c780df128029ddbcc4ba14efef09fe5c%22	https://framerusercontent.com/sites/6FeOyrQqMynUg0qvI3WILZ/chunk-5MRFIFFE.mjs	C:/Users/Sukuna/Desktop/sites/testcardv2/framerusercontent.com/sites/6FeOyrQqMynUg0qvI3WILZ/chunk-5MRFIFFE.mjs	(from https://home/)
19:21:22	454/454	---M--	200	added ('OK')	text/javascript	etag:%228af81548ac68e6596fe9853138d19471%22	https://framerusercontent.com/sites/6FeOyrQqMynUg0qvI3WILZ/chunk-OIST4OYN.mjs	C:/Users/Sukuna/Desktop/sites/testcardv2/framerusercontent.com/sites/6FeOyrQqMynUg0qvI3WILZ/chunk-OIST4OYN.mjs	(from https://home/)
19:21:24	520043/520043	---MCZ	200	added ('OK')	text/javascript	etag:W/%22be3f251b26bf062dd1b50425bb79a6af%22	https://framerusercontent.com/sites/6FeOyrQqMynUg0qvI3WILZ/rYQhfaV9-qvIgZaRZFsDQL6SXONyFpW6ov-FWUXvlFA.UQRJVJRC.mjs	C:/Users/Sukuna/Desktop/sites/testcardv2/framerusercontent.com/sites/6FeOyrQqMynUg0qvI3WILZ/rYQhfaV9-qvIgZaRZFsDQL6SXONyFpW6ov-FWUXvlFA.UQRJVJRC.mjs	(from https://home/)
19:21:24	564/564	---M--	200	added ('OK')	text/javascript	etag:%225ce08fd0599dd87154c4935c05a189cc%22	https://framerusercontent.com/sites/6FeOyrQqMynUg0qvI3WILZ/chunk-4J36BXLV.mjs	C:/Users/Sukuna/Desktop/sites/testcardv2/framerusercontent.com/sites/6FeOyrQqMynUg0qvI3WILZ/chunk-4J36BXLV.mjs	(from https://home/)
19:21:25	918/918	---M--	200	added ('OK')	text/javascript	etag:%2259836530f5d285fcc5a5488f84a851c6%22	https://framerusercontent.com/sites/6FeOyrQqMynUg0qvI3WILZ/chunk-OKF4RETR.mjs	C:/Users/Sukuna/Desktop/sites/testcardv2/framerusercontent.com/sites/6FeOyrQqMynUg0qvI3WILZ/chunk-OKF4RETR.mjs	(from https://home/)
19:21:26	1004/1004	---MCZ	200	added ('OK')	text/javascript	etag:W/%22e467f8dd11a80a21130bcae95f1be428%22	https://framerusercontent.com/sites/6FeOyrQqMynUg0qvI3WILZ/chunk-TOV45LLJ.mjs	C:/Users/Sukuna/Desktop/sites/testcardv2/framerusercontent.com/sites/6FeOyrQqMynUg0qvI3WILZ/chunk-TOV45LLJ.mjs	(from https://home/)
19:21:28	17933/17933	---MCZ	200	added ('OK')	text/javascript	etag:W/%220cd8b5f571fdc756b4c8d0045ffab43b%22	https://framerusercontent.com/sites/6FeOyrQqMynUg0qvI3WILZ/chunk-WPCPCO3F.mjs	C:/Users/Sukuna/Desktop/sites/testcardv2/framerusercontent.com/sites/6FeOyrQqMynUg0qvI3WILZ/chunk-WPCPCO3F.mjs	(from https://home/)
19:21:29	7618/7618	---MCZ	200	added ('OK')	text/javascript	etag:W/%22156ed8c7cce9a98211d11c4811a18d0b%22	https://framerusercontent.com/sites/6FeOyrQqMynUg0qvI3WILZ/chunk-VO66NGHP.mjs	C:/Users/Sukuna/Desktop/sites/testcardv2/framerusercontent.com/sites/6FeOyrQqMynUg0qvI3WILZ/chunk-VO66NGHP.mjs	(from https://home/)
19:21:30	7083/7083	---MCZ	200	added ('OK')	text/javascript	etag:W/%22dc30ee3c123fff6be8bbb34aed35a23e%22	https://framerusercontent.com/sites/6FeOyrQqMynUg0qvI3WILZ/chunk-N5LBMMBX.mjs	C:/Users/Sukuna/Desktop/sites/testcardv2/framerusercontent.com/sites/6FeOyrQqMynUg0qvI3WILZ/chunk-N5LBMMBX.mjs	(from https://home/)
19:21:31	9985/9985	---MCZ	200	added ('OK')	text/javascript	etag:W/%22e6c6f6623a6674f924857cf11daa64c3%22	https://framerusercontent.com/sites/6FeOyrQqMynUg0qvI3WILZ/chunk-IPTCH2VE.mjs	C:/Users/Sukuna/Desktop/sites/testcardv2/framerusercontent.com/sites/6FeOyrQqMynUg0qvI3WILZ/chunk-IPTCH2VE.mjs	(from https://home/)
19:21:32	11368/11368	---MCZ	200	added ('OK')	text/javascript	etag:W/%22267764cce4ad1d7609f88c73608c7b3f%22	https://framerusercontent.com/sites/6FeOyrQqMynUg0qvI3WILZ/chunk-NBNII6XC.mjs	C:/Users/Sukuna/Desktop/sites/testcardv2/framerusercontent.com/sites/6FeOyrQqMynUg0qvI3WILZ/chunk-NBNII6XC.mjs	(from https://home/)
19:21:33	2286/2286	---MCZ	200	added ('OK')	text/javascript	etag:W/%22619111fe7b4331e964408ab6f1b5a623%22	https://framerusercontent.com/sites/6FeOyrQqMynUg0qvI3WILZ/chunk-KEH6TYWF.mjs	C:/Users/Sukuna/Desktop/sites/testcardv2/framerusercontent.com/sites/6FeOyrQqMynUg0qvI3WILZ/chunk-KEH6TYWF.mjs	(from https://home/)
19:21:34	8702/8702	---MCZ	200	added ('OK')	text/javascript	etag:W/%227515560c6551793debdda585cf4d988a%22	https://framerusercontent.com/sites/6FeOyrQqMynUg0qvI3WILZ/chunk-2IYC4B22.mjs	C:/Users/Sukuna/Desktop/sites/testcardv2/framerusercontent.com/sites/6FeOyrQqMynUg0qvI3WILZ/chunk-2IYC4B22.mjs	(from https://home/)
19:21:35	20753/20753	---MCZ	200	added ('OK')	text/javascript	etag:W/%224e78b69b500accfc4d983a268c2ff599%22	https://framerusercontent.com/sites/6FeOyrQqMynUg0qvI3WILZ/chunk-V5NTEHE4.mjs	C:/Users/Sukuna/Desktop/sites/testcardv2/framerusercontent.com/sites/6FeOyrQqMynUg0qvI3WILZ/chunk-V5NTEHE4.mjs	(from https://home/)
19:21:36	2200/2200	---MCZ	200	added ('OK')	text/javascript	etag:W/%2267b3ab02fa1b298fca04e1bc8e362804%22	https://framerusercontent.com/sites/6FeOyrQqMynUg0qvI3WILZ/chunk-IQU6LE25.mjs	C:/Users/Sukuna/Desktop/sites/testcardv2/framerusercontent.com/sites/6FeOyrQqMynUg0qvI3WILZ/chunk-IQU6LE25.mjs	(from https://home/)
19:21:37	9488/9488	---MCZ	200	added ('OK')	text/javascript	etag:W/%22854dae43c2e2f79e5eaec023d72f1d76%22	https://framerusercontent.com/sites/6FeOyrQqMynUg0qvI3WILZ/chunk-OFPFQXSF.mjs	C:/Users/Sukuna/Desktop/sites/testcardv2/framerusercontent.com/sites/6FeOyrQqMynUg0qvI3WILZ/chunk-OFPFQXSF.mjs	(from https://home/)
19:21:38	2239/2239	---MCZ	200	added ('OK')	text/javascript	etag:W/%228bdc3196b14dd32e755ffecdeb160c6e%22	https://framerusercontent.com/sites/6FeOyrQqMynUg0qvI3WILZ/chunk-CP5JBVHS.mjs	C:/Users/Sukuna/Desktop/sites/testcardv2/framerusercontent.com/sites/6FeOyrQqMynUg0qvI3WILZ/chunk-CP5JBVHS.mjs	(from https://home/)
19:21:39	1073/1073	---MCZ	200	added ('OK')	text/javascript	etag:W/%22af7d93db3577ac5997c4c2b8ff6750e1%22	https://framerusercontent.com/sites/6FeOyrQqMynUg0qvI3WILZ/chunk-AM2KDQMB.mjs	C:/Users/Sukuna/Desktop/sites/testcardv2/framerusercontent.com/sites/6FeOyrQqMynUg0qvI3WILZ/chunk-AM2KDQMB.mjs	(from https://home/)
19:21:41	1089/1089	---MCZ	200	added ('OK')	text/javascript	etag:W/%228a7b881ad25fc6ebaba5292d34d41887%22	https://framerusercontent.com/sites/6FeOyrQqMynUg0qvI3WILZ/chunk-HK3HD6YV.mjs	C:/Users/Sukuna/Desktop/sites/testcardv2/framerusercontent.com/sites/6FeOyrQqMynUg0qvI3WILZ/chunk-HK3HD6YV.mjs	(from https://home/)
19:21:41	1058/1058	---MCZ	200	added ('OK')	text/javascript	etag:W/%22120235afe961f8b9c2efe5e801059b1e%22	https://framerusercontent.com/sites/6FeOyrQqMynUg0qvI3WILZ/chunk-63IIHAH2.mjs	C:/Users/Sukuna/Desktop/sites/testcardv2/framerusercontent.com/sites/6FeOyrQqMynUg0qvI3WILZ/chunk-63IIHAH2.mjs	(from https://home/)
19:21:43	1089/1089	---MCZ	200	added ('OK')	text/javascript	etag:W/%228ba2409cc9bdf76a7530faa3af00881c%22	https://framerusercontent.com/sites/6FeOyrQqMynUg0qvI3WILZ/chunk-JAFJLMG4.mjs	C:/Users/Sukuna/Desktop/sites/testcardv2/framerusercontent.com/sites/6FeOyrQqMynUg0qvI3WILZ/chunk-JAFJLMG4.mjs	(from https://home/)
19:21:44	2239/2239	---MCZ	200	added ('OK')	text/javascript	etag:W/%22b7e7683d17c479ff01a138357a23f349%22	https://framerusercontent.com/sites/6FeOyrQqMynUg0qvI3WILZ/chunk-APMCS2OP.mjs	C:/Users/Sukuna/Desktop/sites/testcardv2/framerusercontent.com/sites/6FeOyrQqMynUg0qvI3WILZ/chunk-APMCS2OP.mjs	(from https://home/)
